Model,Fixes,Key Technique,Limitations
KGP,"Frames the multi-document/multi-passage QA problem as a graph-traversal task, addressing the inability of S-shot dense retrievers to follow logical chains across documents. Predates and motivates later graph-based RAG work (MoLoRAG, MLDocRAG, MultiDocFusion) and structure-aware retrieval. The structural-question handling foreshadows the layout-as-navigation idea later used by MHier-RAG and DocAgent.","Builds a knowledge graph over the document corpus with passage nodes (text) and structural nodes (pages, tables) plus directed belonging edges. Three KG construction variants: TF-IDF (lexical similarity edges), KNN-ST/MDR (semantic similarity edges, optionally trained MDR-style for next-supporting-fact prediction), and TAGME (Wikipedia-entity overlap). An LLM-based KG traversal agent (instruction-tuned T5 or LLaMA) generates the next likely supporting fact and selects the closest neighbour on the graph, iterating until a budget is met. Structural questions are routed via extracted structure keywords directly to the matching nodes.","Confined to text-only multi-document QA; ignores fine-grained visual elements (figures, charts). Quality of retrieval is upper-bounded by KG construction; denser graphs increase recall but reduce precision. Requires PDF parsing (Adobe PDF Extract). Not designed for the visually-rich multi-page DocVQA setting that later models target."
Doc-V*,"Addresses the brittleness and rigid Top-K of static RAG (M3DocRAG, VisRAG, VDocRAG) by allowing the model to actively recover from missed retrievals via fetch_page. Also addresses the lost-in-the-middle/scaling problems of end-to-end LVLMs (Qwen2.5-VL, Docopilot, mPLUG-DocOwl2) that cannot fit very long documents. Improves on prompt-based agents (DocAgent, MDocAgent) by being trainable and OCR-free.","OCR-free agent built on Qwen2.5-VL-7B that frames MP-DocVQA as sequential evidence aggregation. Begins with a low-resolution thumbnail grid overview of the entire document (annotated with absolute page numbers), then alternates between three actions: retrieval_page (semantic search over unvisited pages via ColQwen), fetch_page (direct index-based fetch of high-res cached visual tokens), and answer. Structured ReAct reasoning template (analysis/relevant_pages/summary) maintains a working memory across steps. Trained with SFT on 9k expert trajectories then GRPO with composite reward (answer correctness, evidence recall, format).",Higher inference latency and GPU memory than fixed RAG due to multi-step iteration. Bounded interaction horizon (T=8) limits very long evidence chains. Performance partially depends on the retriever (degrades modestly with weaker BM25/BGE-Large). GRPO training requires careful reward engineering.
MoLoRAG,"Directly addresses the semantic-only retrieval failure of M3DocRAG and MDocAgent, which retrieve pages with overlapping keywords but missing the actual answer. Aligns with KGP in adopting graph-based retrieval but extends it to multi-modal page graphs (KGP is text-only). Influences DFVC's cross-page-context idea by demonstrating logical relevance matters.","Logic-aware retrieval framework. Builds a page graph by encoding pages with ColPali and connecting pairs whose embedding similarity exceeds a threshold. A VLM (Qwen2.5-VL-3B by default) acts as the retrieval engine and traverses the graph: starting from top-w semantically scored seed pages, it iteratively scores unvisited neighbours by combining a semantic relevance score (from the doc encoder) with a logical relevance score (from the VLM, prompted to reason about question-page logical fit), until a hop budget is reached. Top-K visited pages are passed to an arbitrary LVLM for QA. MoLoRAG+ adds fine-tuning of the VLM on GPT-4o-curated relevance triplets.",Graph construction relies on a similarity threshold (sensitive). Multi-hop traversal multiplies VLM inference calls. Logical-relevance scoring is prompt-dependent. Cannot recover from completely missing edges in the page graph.
M2RAG,"Targets the unimodal limitation of VisRAG/ColPali (visual only) and text-RAG with OCR (lossy parsing), which struggle when answers require both modalities. Improves over S-agent RAG (M3DocRAG) by adding evidence-chain comparison across modalities. Aligns with MDocAgent and DocLens in pursuing multi-modal multi-agent fusion, but adds explicit modality-fusion adjudication.",Multi-agent multimodal fusion RAG. Uses a dual-tower retrieval that runs BM25 (sparse text) and VisRAG-Ret (dense visual page retrieval) independently and returns top-K text segments + top-K visual pages. Three Qwen-based agents then collaborate: a Text Filter produces a preliminary text-grounded answer with evidence; a Visual Extractor (a VLM fine-tuned via LoRA on a knowledge-distilled MP-DocVQA dataset) produces a vision-grounded answer; a Modality Fuser performs consistency checking and synthesises the final answer.,"Two parallel retrieval pipelines double indexing cost. Modality fuser still relies on a S LVLM, so cross-modal disagreements may resolve incorrectly. Knowledge-distillation dataset is task-specific (MP-DocVQA), limiting domain transfer."
DocLens,Directly addresses the poor evidence-page recall of vector retrievers (MDocAgent/M3DocRAG: 55-71% Recall@10) and the hallucination on unanswerable questions of vanilla LVLMs. Targets the loss of detail when only full-page screenshots are inspected (problem of mPLUG-DocOwl2 and Docopilot). Outperforms SimpleDoc by adding fine-grained visual element extraction and explicit adjudication.,"Tool-augmented multi-agent framework with two modules. The Lens Module zooms in: a Page Navigator runs a VLM with OCR text + screenshots over chunked pages (sampled multiple times) to retrieve evidence pages with near-perfect recall (~97% on MMLongBench-Doc); an Element Localizer applies layout detection and crops figures/tables/charts for fine-grained inspection. The Reasoning Module uses a sampling-adjudication strategy: an Answer Sampler generates multiple CoT candidates, an Adjudicator picks the best.","Depends on closed-source proprietary VLMs and external layout/OCR tools; not open-source end-to-end. Sampling-adjudication multiplies inference cost. Element Localizer offers little gain on text-only questions. Page Navigator must process the full document once, which limits scalability to extremely long corpora."
DocAgent,"Targets the context-window and irrelevant-context problems of feeding entire documents to LVLMs (Gemini-page-images, GPT-4o-OCR baselines). Specifically beats S-modal RAG (PDFTriage, M3DocRAG) by adding multi-modal cross-verification. Establishes the agentic pattern that later DocDancer, DocLens, MDocAgent, SimpleDoc and Doc-V* refine, exposing the need for trainable open-source agents.","Multi-agent framework that mimics human reading: extracts a hierarchical XML outline from PDFs (sections, headings, image captions, table titles, with first-sentence hints), then an actor agent uses five tools (search, get_section_content, get_image, get_page_images, get_table_image) to selectively retrieve content. A reviewer agent cross-verifies using complementary modalities; on disagreement a reflection module updates a cumulative task-agnostic memory bank that persists across questions.","Heavily prompt-engineered and tied to closed-source LLMs; no learned policy. Adobe PDF Extract may fail on scans or unusual layouts. Memory bank is a S growing string that can drift over time. API cost and latency are high. The reviewer uses the same base model, so cognitive blind spots may persist."
SimpleDoc,"Targets the over-engineered multi-agent pipelines (MDocAgent, ViDoRAG) by showing a S VLM agent with good retrieval can match or beat them. Improves M3DocRAG by iterating retrieval until evidence is sufficient and by re-ranking with semantic summaries instead of pure embedding similarity. Influences Doc-V*, DocLens and DocDancer in promoting iterative S-agent designs.","Two-stage framework. Offline: each page is indexed twice as a ColPali visual embedding and a 3-5 sentence VLM-generated semantic summary. Online: dual-cue retrieval first shortlists pages by embedding similarity then asks an LLM to re-rank/filter using the summaries. A S VLM reasoner agent inspects the retrieved pages along with a working memory (initialised with a doc-level summary) and either answers, declares unanswerable, or emits a refined query for another retrieval round (max L iterations). Memory is updated with notes from each iteration.",Quality of pre-computed summaries bounds the re-ranker. Iterative loop adds latency. Working memory is text-only; visual evidence not preserved between rounds. Limited tool use compared to DocAgent or DocLens.
MDocAgent,"Targets the inability of pure-text RAG (ColBERT alone) and pure-vision RAG (ColPali alone) to integrate both modalities for questions requiring cross-modal reasoning. Influential in establishing role-specialised multi-agent pipelines for DocQA; later refined by ViDoRAG, M2RAG, MACT, DocLens and SimpleDoc.",Five-stage multi-modal multi-agent pipeline: (1) document pre-processing extracts text via OCR and preserves page images; (2) parallel ColBERT (text) and ColPali (image) retrieval return top-K segments; (3) a general agent gives a preliminary multi-modal answer and a critical agent extracts key textual + visual cues; (4) specialised text and image agents perform focused analysis using the critical cues; (5) a summarising agent integrates all answers into a final response.,"Five-agent pipeline is computationally heavy and over-engineered; later work (SimpleDoc) shows similar accuracy with a S agent. Vector retrievers have low evidence-page recall (~71% in the DocLens analysis). Does not iterate retrieval; if both modalities miss, the system fails."
Doc-React,"Designed against the S-shot retrieval failure of VisRAG/ColPali when queries are under-specified or evidence is scattered across modalities (e.g., needing figures on a different page than the text mention). Influences subsequent iterative agentic frameworks (Doc-V*, DocLens, ViDoRAG, SimpleDoc) by formalising the trade-off between information gain and uncertainty.",Adaptive iterative ReAct-style framework that frames retrieval as InfoNCE-guided mutual-information maximisation. At each step an LLM judge decomposes the residual information gap into sub-queries and the retriever (ColPali or VisRAG) returns candidates whose normalised information gain (gain minus entropy) is greedily maximised. Stops when residual entropy cannot be reduced further.,"Requires multiple LLM calls per question, increasing latency and API cost. Information-gain estimation is approximated and can be noisy. Heavily dependent on the underlying retriever quality. Not specialised for very long context aggregation."
MACT,"Argues monolithic VLM scaling (bigger Qwen2.5-VL/InternVL3) gives diminishing returns on document-based VQA, motivating procedural scaling. Addresses cognitive overload in S-pass models (Docopilot, mPLUG-DocOwl2) and the lack of internal verification in non-agentic baselines. Improves over MDocAgent/SimpleDoc by separating judgment from correction to avoid cognitive blind spots.","Procedural scaling: decomposes the document workflow into four specialised agents (Planning, Execution, Judgment, Answer). The planning agent generates analogical relevant plans without execution details; the execution agent picks tools from a tool library and runs each plan step; the judgment agent independently flags incorrect plan or execution steps and routes them back for correction (no self-correction or combined judge+correct); the answer agent synthesises the final answer from both correct and corrected processes. Adds an agent-wise adaptive test-time scaling strategy with mixed reward modelling (per-agent + global outcome) so each agent gets its own scaling regime.","Multi-agent overhead increases inference cost; up to 3 correction rounds per question. Judgment agent only flags but does not correct, so plan/execution agents must learn to repair specific errors. Performance depends on the underlying tool library quality."
